placeId,name,address,lat,lng,types,category
ChIJTQ3q3SHyNIgRm1vAnIVxhZU,Entropy+,"University Center, 5032 Forbes Ave, Pittsburgh, PA 15213, United States",40.4429666,-79.9420756,"convenience_store,point_of_interest,food,store,establishment",grocery
ChIJP0kgbNDtNIgRhOXNN2vB2t4,Save A Lot,"725 Ross Ave, Pittsburgh, PA 15221, United States",40.4427011,-79.8839661,"grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJvTL5iH_yNIgRUUq0ccQY6DA,Bryant Street Market,"5901 Bryant St, Pittsburgh, PA 15206, United States",40.4759057,-79.9194783,"grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJTZI2vU_xNIgRUptka-9QjUw,Squirrel Hill Market,"2130 Murray Ave, Pittsburgh, PA 15217, United States",40.4328811,-79.92317919999999,"grocery_or_supermarket,restaurant,point_of_interest,food,store,establishment",grocery
ChIJ55g2E3DuNIgRy790OF-ioGM,Giant Eagle Supermarket,"1705 S Braddock Ave, Pittsburgh, PA 15218, United States",40.4257165,-79.8865572,"grocery_or_supermarket,supermarket,point_of_interest,food,store,establishment",grocery
ChIJB8suhyjyNIgROsd4vPcFiDU,The Porch,"221 Schenley Dr, Pittsburgh, PA 15213, United States",40.4427046,-79.95306360000001,"restaurant,bar,food,point_of_interest,establishment",restaurant
ChIJuanz3VnxNIgRevJ0mtJ3D9c,Ritual House,"524 William Penn Pl, Pittsburgh, PA 15219, United States",40.440327,-79.9971956,"restaurant,food,point_of_interest,establishment",restaurant
ChIJjx4DoCbyNIgRa4xgF5MtWX8,Union Grill Oakland,"413 S Craig St, Pittsburgh, PA 15213, United States",40.444802,-79.94851799999999,"restaurant,bar,food,point_of_interest,establishment",restaurant
ChIJJZvnESrzNIgRpLiQd90HlPU,Lilith,"238 Spahr St, Pittsburgh, PA 15232, United States",40.4578548,-79.9275667,"restaurant,food,point_of_interest,establishment",restaurant
ChIJJz3ef1LzNIgR8aiq4fiCId0,FET-FISK restaurant + bar,"4786 Liberty Ave, Pittsburgh, PA 15224, United States",40.4605056,-79.9473453,"restaurant,food,point_of_interest,establishment",restaurant
ChIJXXutnFbxNIgR7UUU81s_VKg,The Yard,"100 Fifth Ave, Pittsburgh, PA 15222, United States",40.4412646,-80.0027879,"restaurant,bar,food,point_of_interest,establishment",restaurant
ChIJZ0VnWfTxNIgRzwmWRLP4sy4,The Eagle - Pittsburgh,"737 Penn Ave, Pittsburgh, PA 15222, United States",40.4437105,-79.9997072,"restaurant,meal_takeaway,food,point_of_interest,establishment",restaurant
ChIJU-E_KhvzNIgRfi53Eoj79i8,Fig & Ash,"514 E Ohio St, Pittsburgh, PA 15212, United States",40.4537583,-80.0001581,"restaurant,food,point_of_interest,establishment",restaurant
ChIJzwS4zTryNIgRGmSRESQtGHo,Butterjoint,"208 N Craig St, Pittsburgh, PA 15213, United States",40.4501664,-79.950738,"restaurant,bar,food,point_of_interest,establishment",restaurant
ChIJK0Gg3U3xNIgR91MmvokkqIE,Grand Concourse,"100 W Station Square Dr, Pittsburgh, PA 15219, United States",40.4334169,-80.003885,"restaurant,food,point_of_interest,establishment",restaurant
ChIJWc78NOLzNIgRcQKCaa4pSCU,Eleven,"1150 Smallman St, Pittsburgh, PA 15222, United States",40.4460872,-79.99319419999999,"restaurant,food,point_of_interest,establishment",restaurant
ChIJPxm6vcfxNIgRojt2mErBxbY,Tupelo Honey Southern Kitchen & Bar,"111 W Station Square Dr, Pittsburgh, PA 15219, United States",40.43297,-80.0039219,"restaurant,food,point_of_interest,establishment",restaurant
ChIJHdQeTnzxNIgRMG7Df7vNwmQ,Nan Xiang Soup Dumplings - Pittsburgh,"2773 Sidney St, Pittsburgh, PA 15203, United States",40.4272412,-79.9648354,"restaurant,food,point_of_interest,establishment",restaurant
